query,mode,coverage,precision,f1,format_ok,fabricated_contact,fabricated_link,used_placeholder,notes
Apa saja webinar UIB bulan Oktober 2025?,baseline,1.00,1.00,1.00,true,true,false,false,
Apa saja webinar UIB bulan Oktober 2025?,engineered,1.00,1.00,1.00,true,false,false,true,
Sertifikasi apa yang tersedia di UIB pada November 2025?,baseline,1.00,1.00,1.00,true,false,false,false,
Sertifikasi apa yang tersedia di UIB pada November 2025?,engineered,1.00,1.00,1.00,true,false,false,false,
Tunjukkan event UIB yang gratis pada Desember 2025.,baseline,0.33,1.00,0.50,true,false,false,true,missing: Mobile App Development with Flutter; Advanced Web Development with Modern Stack
Tunjukkan event UIB yang gratis pada Desember 2025.,engineered,0.33,1.00,0.50,true,false,false,false,missing: Mobile App Development with Flutter; Advanced Web Development with Modern Stack
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,baseline,0.10,1.00,0.18,true,false,false,false,missing: Sertifikasi Digital Marketing for Business; Certified Cloud Computing Specialist; Sertifikasi Akuntansi Manajemen Profesional (CMA); Sertifikasi Bahasa Inggris TOEFL ITP; Sertifikasi Project Management Professional (PMP); Sustainable Business Practices in ASEAN; Mobile App Development with Flutter; Year-End Tech Trends Review 2025; Advanced Web Development with Modern Stack
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,engineered,0.10,1.00,0.18,false,false,false,false,missing: Sertifikasi Digital Marketing for Business; Certified Cloud Computing Specialist; Sertifikasi Akuntansi Manajemen Profesional (CMA); Sertifikasi Bahasa Inggris TOEFL ITP; Sertifikasi Project Management Professional (PMP); Sustainable Business Practices in ASEAN; Mobile App Development with Flutter; Year-End Tech Trends Review 2025; Advanced Web Development with Modern Stack | missing: lokasi/tempat
Kapan dan di mana ‘Sertifikasi Digital Marketing for Business’ diadakan?,baseline,1.00,1.00,1.00,true,false,false,false,
Kapan dan di mana ‘Sertifikasi Digital Marketing for Business’ diadakan?,engineered,1.00,1.00,1.00,true,false,false,false,
Bagaimana cara mendaftar webinar ‘Future of Artificial Intelligence in Education’? Sertakan tautan jika ada.,baseline,0.20,1.00,0.33,true,true,false,false,missing: Sustainable Business Practices in ASEAN; Blockchain Technology and Cryptocurrency Trends; Career Development in Tech Industry 2025; Year-End Tech Trends Review 2025
Bagaimana cara mendaftar webinar ‘Future of Artificial Intelligence in Education’? Sertakan tautan jika ada.,engineered,0.20,1.00,0.33,true,true,false,false,missing: Sustainable Business Practices in ASEAN; Blockchain Technology and Cryptocurrency Trends; Career Development in Tech Industry 2025; Year-End Tech Trends Review 2025
Sebutkan 3 event UIB terdekat mulai hari ini.,baseline,0.38,1.00,0.55,true,false,false,true,missing: Cybersecurity Professional Certification; Career Development in Tech Industry 2025; Mobile App Development with Flutter; Year-End Tech Trends Review 2025; Advanced Web Development with Modern Stack
Sebutkan 3 event UIB terdekat mulai hari ini.,engineered,0.38,1.00,0.55,true,false,false,true,missing: Cybersecurity Professional Certification; Career Development in Tech Industry 2025; Mobile App Development with Flutter; Year-End Tech Trends Review 2025; Advanced Web Development with Modern Stack
Daftar semua event UIB bulan November 2025 beserta tanggal dan lokasi.,baseline,1.00,1.00,1.00,true,false,false,true,
Daftar semua event UIB bulan November 2025 beserta tanggal dan lokasi.,engineered,1.00,1.00,1.00,true,false,false,false,
Apa kontak resmi UIB untuk informasi event dan situs rujukannya?,baseline,0.00,1.00,0.00,false,true,true,false,missing: Sertifikasi Project Management Professional (PMP); Professional Data Analytics Certificate; Blockchain Technology and Cryptocurrency Trends; Cybersecurity Professional Certification; Career Development in Tech Industry 2025; Mobile App Development with Flutter; Year-End Tech Trends Review 2025; Advanced Web Development with Modern Stack | missing: tanggal; missing: lokasi/tempat
Apa kontak resmi UIB untuk informasi event dan situs rujukannya?,engineered,0.00,1.00,0.00,false,true,true,false,missing: Sertifikasi Project Management Professional (PMP); Professional Data Analytics Certificate; Blockchain Technology and Cryptocurrency Trends; Cybersecurity Professional Certification; Career Development in Tech Industry 2025; Mobile App Development with Flutter; Year-End Tech Trends Review 2025; Advanced Web Development with Modern Stack | missing: tanggal; missing: lokasi/tempat
Ada acara di bulan 11?,baseline,1.00,1.00,1.00,true,true,false,false,
Ada acara di bulan 11?,engineered,1.00,1.00,1.00,true,false,false,true,
Ada acara minggu depan? (tolong sebutkan tanggalnya),baseline,0.00,1.00,0.00,true,false,false,false,no-ground-truth
Ada acara minggu depan? (tolong sebutkan tanggalnya),engineered,0.00,1.00,0.00,true,false,false,false,no-ground-truth
"Kapan seminar UIB berikutnya? Jika lebih dari satu, pilih yang paling dekat.",baseline,0.20,1.00,0.33,true,true,false,false,missing: Sustainable Business Practices in ASEAN; Blockchain Technology and Cryptocurrency Trends; Career Development in Tech Industry 2025; Year-End Tech Trends Review 2025
"Kapan seminar UIB berikutnya? Jika lebih dari satu, pilih yang paling dekat.",engineered,1.00,1.00,1.00,false,true,false,false,missing: lokasi/tempat
Urutkan event UIB Oktober 2025 berdasarkan tanggal (awal → akhir).,baseline,1.00,1.00,1.00,true,false,false,true,
Urutkan event UIB Oktober 2025 berdasarkan tanggal (awal → akhir).,engineered,1.00,1.00,1.00,true,false,false,false,
"Tampilkan event UIB bertipe ‘webinar’ dan ‘certification’ di November 2025, pisahkan per tipe.",baseline,1.00,1.00,1.00,true,true,false,false,
"Tampilkan event UIB bertipe ‘webinar’ dan ‘certification’ di November 2025, pisahkan per tipe.",engineered,1.00,1.00,1.00,false,false,false,false,missing: tanggal
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",baseline,0.79,1.00,0.88,true,false,false,true,missing: Mobile App Development with Flutter; Year-End Tech Trends Review 2025; Advanced Web Development with Modern Stack
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",engineered,1.00,1.00,1.00,false,false,false,false,missing: tanggal; missing: lokasi/tempat
Sebutkan lokasi setiap event UIB di November 2025 (gedung/ruang).,baseline,1.00,1.00,1.00,false,false,false,false,missing: tanggal
Sebutkan lokasi setiap event UIB di November 2025 (gedung/ruang).,engineered,1.00,1.00,1.00,false,false,false,false,missing: tanggal
Rekomendasikan event UIB paling relevan untuk mahasiswa baru pada November 2025 (berdasarkan judul/deskripsi) dan jelaskan alasannya singkat.,baseline,0.50,1.00,0.67,false,false,false,true,missing: Professional Data Analytics Certificate; Cybersecurity Professional Certification | missing: lokasi/tempat
Rekomendasikan event UIB paling relevan untuk mahasiswa baru pada November 2025 (berdasarkan judul/deskripsi) dan jelaskan alasannya singkat.,engineered,0.25,1.00,0.40,false,false,false,true,missing: Professional Data Analytics Certificate; Blockchain Technology and Cryptocurrency Trends; Cybersecurity Professional Certification | missing: lokasi/tempat
Tampilkan 3 gambar kampus UIB bertopik ‘UIB Tower’.,baseline,0.00,1.00,0.00,false,false,false,false,no-ground-truth | less than 3 image URLs
Tampilkan 3 gambar kampus UIB bertopik ‘UIB Tower’.,engineered,0.00,1.00,0.00,false,false,false,false,no-ground-truth | less than 3 image URLs; missing: sumber
Cari 3 gambar ‘kampus UIB’ dan tampilkan sumbernya.,baseline,0.00,1.00,0.00,false,false,true,false,no-ground-truth | less than 3 image URLs
Cari 3 gambar ‘kampus UIB’ dan tampilkan sumbernya.,engineered,0.00,1.00,0.00,false,false,false,false,no-ground-truth | less than 3 image URLs; missing: sumber
webinar uib nov 2025 apa aja?,baseline,0.00,1.00,0.00,false,false,false,false,missing: Blockchain Technology and Cryptocurrency Trends; Career Development in Tech Industry 2025 | missing: tanggal; missing: lokasi/tempat
webinar uib nov 2025 apa aja?,engineered,0.00,1.00,0.00,false,false,false,false,missing: Blockchain Technology and Cryptocurrency Trends; Career Development in Tech Industry 2025 | missing: tanggal; missing: lokasi/tempat
